Bubble Sort Padrão,Bubble Sort Otimizado
328448000,0
453938000,240833000
486827000,312604000
600364000,346595000
486502000,314681000
454166000,360617000
516176000,297074000
525246000,305249000
522600000,385556000
552096000,468341000
470355000,394869000
584834000,344971000
836060000,484577000
491189000,250186000
469748000,328134000
468742000,296987000
421886000,298475000
454304000,250017000
364685000,276311000
469729000,328544000
453201000,250791000
469655000,328124000
438607000,343740000
470740000,345323000
453157000,296749000
471762000,326875000
469219000,344715000
469345000,328371000
438621000,234473000
422382000,250571000
469529000,296865000
417947000,255030000
407365000,265537000
461584000,296875000
437986000,313623000
412591000,343653000
438336000,250013000
437599000,352819000
533438000,383365000
586528000,429867000
496964000,355826000
605430000,406603000
655557000,335706000
722080000,409977000
635026000,373730000
577187000,366447000
500683000,378266000
526988000,386187000
579888000,425129000
719494000,514091000
591403000,543617000
649502000,554629000
668696000,614235000
658623000,490008000
633119000,430194000
572024000,470387000
528966000,338334000
516460000,333168000
476536000,373518000
414043000,313470000
464646000,344094000
627577000,464179000
443904000,385981000
870942000,392898000
404963000,368179000
455770000,282312000
602027000,320072000
991528000,1112827000
1521279000,1060013000
1590983000,1076939000
1354903000,968387000
1514038000,982435000
1487397000,1053368000
1457263000,1092567000
1498068000,1060060000
1509746000,1051361000
1461454000,1097396000
1477432000,1029100000
1496913000,1075090000
1472298000,1042513000
1586957000,1021391000
1397581000,955432000
1415729000,1102898000
1493825000,1033563000
1354968000,992470000
1490709000,1046062000
1432103000,1056177000
1481040000,1183324000
1502521000,1024773000
1474916000,1030049000
1400448000,1093715000
1554557000,1077618000
1471483000,1098383000
1447776000,1066154000
1758876000,1201643000
1692064000,578095000
500020000,352862000
570576000,422091000
584426000,366397000
614173000,389612000
